Año,Trimestre,Provincia,Accesos por cada 100 hab,Total suma Mbps,CrecimientoAcceso
2021,1,Córdoba,24,910881,4.35
2021,2,Córdoba,24,930880,0.0
2021,3,Córdoba,24,946788,0.0
2021,4,Córdoba,25,986770,4.17
2020,1,Córdoba,21,810924,0.0
2020,2,Córdoba,22,836468,4.76
2020,3,Córdoba,23,867472,4.55
2020,4,Córdoba,23,902701,0.0
2019,1,Córdoba,20,746418,5.26
2019,2,Córdoba,20,769793,0.0
2019,3,Córdoba,21,782341,5.0
2019,4,Córdoba,21,806688,0.0
2018,1,Córdoba,19,713991,0.0
2018,2,Córdoba,19,710289,0.0
2018,3,Córdoba,19,723352,0.0
2018,4,Córdoba,19,737339,0.0
2017,1,Córdoba,17,642098,0.0
2017,2,Córdoba,18,658560,5.88
2017,3,Córdoba,19,679929,5.56
2017,4,Córdoba,19,700611,0.0
2016,1,Córdoba,16,611484,-5.88
2016,2,Córdoba,17,659050,6.25
2016,3,Córdoba,17,644678,0.0
2016,4,Córdoba,17,637473,0.0
2015,1,Córdoba,16,597833,0.0
2015,2,Córdoba,17,611835,6.25
2015,3,Córdoba,17,622813,0.0
2015,4,Córdoba,17,625929,0.0
2014,1,Córdoba,16,567453,0.0
2014,2,Córdoba,16,577464,0.0
2014,3,Córdoba,16,583972,0.0
2014,4,Córdoba,16,589873,0.0
2023,1,Corrientes,13,157020,0.0
2023,2,Corrientes,13,158294,0.0
2023,3,Corrientes,13,159829,0.0
2022,1,Corrientes,12,142578,9.09
2022,2,Corrientes,12,144997,0.0
2022,3,Corrientes,12,144846,0.0
2022,4,Corrientes,13,155453,8.33
2021,1,Corrientes,11,126625,0.0
2021,2,Corrientes,11,129501,0.0
2021,3,Corrientes,11,133819,0.0
2021,4,Corrientes,11,135912,0.0
2020,1,Corrientes,10,113737,0.0
2020,2,Corrientes,10,118866,0.0
2020,3,Corrientes,10,123391,0.0
2020,4,Corrientes,11,125659,10.0
2019,1,Corrientes,9,101659,0.0
2019,2,Corrientes,10,109461,11.11
2019,3,Corrientes,10,110656,0.0
2019,4,Corrientes,10,113834,0.0
2018,1,Corrientes,8,94420,0.0
2018,2,Corrientes,8,97960,0.0
2018,3,Corrientes,9,99459,12.5
2018,4,Corrientes,9,100601,0.0
2017,1,Corrientes,8,88605,0.0
2017,2,Corrientes,8,90094,0.0
2017,3,Corrientes,8,92561,0.0
2017,4,Corrientes,8,93771,0.0
2016,1,Corrientes,7,85534,0.0
2016,2,Corrientes,8,87020,14.29
2016,3,Corrientes,8,88346,0.0
2016,4,Corrientes,8,88093,0.0
2015,1,Corrientes,7,81484,16.67
2015,2,Corrientes,7,83319,0.0
2015,3,Corrientes,7,84959,0.0
2015,4,Corrientes,7,85433,0.0
2014,1,Corrientes,5,62235,0.0
2014,2,Corrientes,5,62957,0.0
2014,3,Corrientes,5,63539,0.0
2014,4,Corrientes,6,65710,20.0
2023,1,Chubut,26,170053,0.0
2023,2,Chubut,25,163961,-3.85
2023,3,Chubut,25,168068,0.0
2022,1,Chubut,26,171628,4.0
2022,2,Chubut,25,162805,-3.85
2022,3,Chubut,25,165778,0.0
2022,4,Chubut,26,168759,4.0
2021,1,Chubut,21,132340,5.0
2021,2,Chubut,22,139237,4.76
2021,3,Chubut,24,156066,9.09
2021,4,Chubut,25,160308,4.17
2020,1,Chubut,15,96920,0.0
2020,2,Chubut,17,108656,13.33
2020,3,Chubut,20,130027,17.65
2020,4,Chubut,20,130574,0.0
2019,1,Chubut,13,82678,0.0
2019,2,Chubut,14,89333,7.69
2019,3,Chubut,14,90152,0.0
2019,4,Chubut,15,96102,7.14
2018,1,Chubut,16,97928,6.67
2018,2,Chubut,16,100533,0.0
2018,3,Chubut,17,102594,6.25
2018,4,Chubut,13,78722,-23.53
2017,1,Chubut,10,80150,0.0
2017,2,Chubut,10,80229,0.0
2017,3,Chubut,14,78607,40.0
2017,4,Chubut,15,93432,7.14
2016,1,Chubut,11,78651,0.0
2016,2,Chubut,11,79846,0.0
2016,3,Chubut,11,80705,0.0
2016,4,Chubut,10,80197,-9.09
2015,1,Chubut,11,64262,-8.33
2015,2,Chubut,11,62647,0.0
2015,3,Chubut,11,78362,0.0
2015,4,Chubut,11,78448,0.0
2014,1,Chubut,12,68791,0.0
2014,2,Chubut,12,70514,0.0
2014,3,Chubut,12,69099,0.0
2014,4,Chubut,12,68538,0.0
2023,1,Chaco,11,142442,0.0
2023,2,Chaco,11,141855,0.0
2023,3,Chaco,11,142146,0.0
2022,1,Chaco,11,144119,0.0
2022,2,Chaco,11,143564,0.0
2022,3,Chaco,11,144146,0.0
2022,4,Chaco,11,143663,0.0
2021,1,Chaco,11,139770,0.0
2021,2,Chaco,11,140729,0.0
2021,3,Chaco,11,139871,0.0
2021,4,Chaco,11,143745,0.0
2020,1,Chaco,10,120226,11.11
2020,2,Chaco,10,128132,0.0
2020,3,Chaco,11,133954,10.0
2020,4,Chaco,11,139091,0.0
2019,1,Chaco,8,106982,0.0
2019,2,Chaco,9,109904,12.5
2019,3,Chaco,9,112227,0.0
2019,4,Chaco,9,117903,0.0
2018,1,Chaco,8,96782,0.0
2018,2,Chaco,8,98290,0.0
2018,3,Chaco,8,105340,0.0
2018,4,Chaco,8,103270,0.0
2017,1,Chaco,7,89047,0.0
2017,2,Chaco,7,90609,0.0
2017,3,Chaco,8,92796,14.29
2017,4,Chaco,8,96471,0.0
2016,1,Chaco,7,86650,0.0
2016,2,Chaco,7,88291,0.0
2016,3,Chaco,7,89416,0.0
2016,4,Chaco,7,88854,0.0
2015,1,Chaco,7,81357,40.0
2015,2,Chaco,7,83846,0.0
2015,3,Chaco,7,85374,0.0
2015,4,Chaco,7,86553,0.0
2014,1,Chaco,5,62546,0.0
2014,2,Chaco,5,63304,0.0
2014,3,Chaco,5,63770,0.0
2014,4,Chaco,5,66060,0.0
2023,1,Catamarca,16,71492,0.0
2023,2,Catamarca,17,72990,6.25
2023,3,Catamarca,17,74355,0.0
2022,1,Catamarca,14,62378,0.0
2022,2,Catamarca,15,67008,7.14
2022,3,Catamarca,16,70293,6.67
2022,4,Catamarca,16,70909,0.0
2021,1,Catamarca,12,51968,0.0
2021,2,Catamarca,13,55744,8.33
2021,3,Catamarca,13,56254,0.0
2021,4,Catamarca,14,59090,7.69
2020,1,Catamarca,9,38860,0.0
2020,2,Catamarca,11,47976,22.22
2020,3,Catamarca,11,49904,0.0
2020,4,Catamarca,12,52396,9.09
2019,1,Catamarca,8,34739,0.0
2019,2,Catamarca,8,33622,0.0
2019,3,Catamarca,7,32382,-12.5
2019,4,Catamarca,9,38311,28.57
2018,1,Catamarca,8,33929,14.29
2018,2,Catamarca,8,34073,0.0
2018,3,Catamarca,8,34373,0.0
2018,4,Catamarca,8,33583,0.0
2017,1,Catamarca,6,26315,0.0
2017,2,Catamarca,6,26703,0.0
2017,3,Catamarca,8,27011,33.33
2017,4,Catamarca,7,29558,-12.5
2016,1,Catamarca,6,26388,0.0
2016,2,Catamarca,6,26604,0.0
2016,3,Catamarca,6,26984,0.0
2016,4,Catamarca,6,27032,0.0
2015,1,Catamarca,6,25130,0.0
2015,2,Catamarca,6,25678,0.0
2015,3,Catamarca,6,26091,0.0
2015,4,Catamarca,6,26471,0.0
2014,1,Catamarca,6,24232,0.0
2014,2,Catamarca,6,24683,0.0
2014,3,Catamarca,6,24680,0.0
2014,4,Catamarca,6,25493,0.0
2023,1,Capital Federal,50,1548729,0.0
2023,2,Capital Federal,47,1457678,-6.0
2023,3,Capital Federal,47,1467984,0.0
2022,1,Capital Federal,46,1417541,2.22
2022,2,Capital Federal,49,1536771,6.52
2022,3,Capital Federal,50,1547679,2.04
2022,4,Capital Federal,50,1551926,0.0
2021,1,Capital Federal,44,1379673,0.0
2021,2,Capital Federal,45,1400355,2.27
2021,3,Capital Federal,45,1413405,0.0
2021,4,Capital Federal,45,1412119,0.0
2020,1,Capital Federal,44,1354054,0.0
2020,2,Capital Federal,44,1357821,0.0
2020,3,Capital Federal,44,1372675,0.0
2020,4,Capital Federal,44,1379530,0.0
2019,1,Capital Federal,45,1401583,0.0
2019,2,Capital Federal,46,1418395,2.22
2019,3,Capital Federal,46,1442810,0.0
2019,4,Capital Federal,44,1358105,-4.35
2018,1,Capital Federal,44,1368594,-13.73
2018,2,Capital Federal,44,1371167,0.0
2018,3,Capital Federal,45,1394490,2.27
2018,4,Capital Federal,45,1389020,0.0
2017,1,Capital Federal,45,1262939,0.0
2017,2,Capital Federal,52,1564194,15.56
2017,3,Capital Federal,51,1575199,-1.92
2017,4,Capital Federal,51,1584238,0.0
2016,1,Capital Federal,43,1303768,-2.27
2016,2,Capital Federal,45,1257301,4.65
2016,3,Capital Federal,45,1261685,0.0
2016,4,Capital Federal,45,1266885,0.0
2015,1,Capital Federal,43,1333455,0.0
2015,2,Capital Federal,44,1346689,2.33
2015,3,Capital Federal,44,1341574,0.0
2015,4,Capital Federal,44,1350449,0.0
2014,1,Capital Federal,42,1301080,0.0
2014,2,Capital Federal,42,1310340,0.0
2014,3,Capital Federal,43,1318799,2.38
2014,4,Capital Federal,43,1331972,0.0
2023,1,Buenos Aires,26,4820928,0.0
2023,2,Buenos Aires,27,4885488,3.85
2023,3,Buenos Aires,27,4968237,0.0
2022,1,Buenos Aires,25,4555424,0.0
2022,2,Buenos Aires,26,4667183,4.0
2022,3,Buenos Aires,26,4721668,0.0
2022,4,Buenos Aires,26,4794665,0.0
2021,1,Buenos Aires,22,4060002,0.0
2021,2,Buenos Aires,23,4132351,4.55
2021,3,Buenos Aires,23,4251609,0.0
2021,4,Buenos Aires,25,4509157,8.7
2020,1,Buenos Aires,21,3718747,0.0
2020,2,Buenos Aires,21,3777546,0.0
2020,3,Buenos Aires,22,3937277,4.76
2020,4,Buenos Aires,22,4033261,0.0
2019,1,Buenos Aires,21,3732709,0.0
2019,2,Buenos Aires,22,3870807,4.76
2019,3,Buenos Aires,22,3971683,0.0
2019,4,Buenos Aires,21,3686254,-4.55
2018,1,Buenos Aires,20,3471700,11.11
2018,2,Buenos Aires,20,3502314,0.0
2018,3,Buenos Aires,20,3609754,0.0
2018,4,Buenos Aires,21,3636606,5.0
2017,1,Buenos Aires,18,3186724,0.0
2017,2,Buenos Aires,18,2976720,0.0
2017,3,Buenos Aires,17,3028468,-5.56
2017,4,Buenos Aires,18,3188332,5.88
2016,1,Buenos Aires,17,2875135,0.0
2016,2,Buenos Aires,18,3108515,5.88
2016,3,Buenos Aires,18,3121140,0.0
2016,4,Buenos Aires,18,3138540,0.0
2015,1,Buenos Aires,17,2754611,0.0
2015,2,Buenos Aires,17,2857754,0.0
2015,3,Buenos Aires,17,2856077,0.0
2015,4,Buenos Aires,17,2888246,0.0
2014,1,Buenos Aires,16,2624542,0.0
2014,2,Buenos Aires,16,2659315,0.0
2014,3,Buenos Aires,17,2647180,6.25
2014,4,Buenos Aires,17,2705953,0.0
