Año,Trimestre,Provincia,Accesos por cada 100 hab,Total suma Mbps,CrecimientoAcceso
2018,2,Tierra Del Fuego,27,43505,42.11
2018,3,Tierra Del Fuego,27,44300,0.0
2018,4,Tierra Del Fuego,27,46260,0.0
2017,1,Tierra Del Fuego,20,35710,0.0
2017,2,Tierra Del Fuego,20,35710,0.0
2017,3,Tierra Del Fuego,19,34164,-5.0
2017,4,Tierra Del Fuego,17,31652,-10.53
2016,1,Tierra Del Fuego,19,33304,0.0
2016,2,Tierra Del Fuego,20,39075,5.26
2016,3,Tierra Del Fuego,20,35381,0.0
2016,4,Tierra Del Fuego,20,35710,0.0
2015,1,Tierra Del Fuego,22,36944,15.79
2015,2,Tierra Del Fuego,22,36375,0.0
2015,3,Tierra Del Fuego,22,36710,0.0
2015,4,Tierra Del Fuego,19,32963,-13.64
2014,1,Tierra Del Fuego,19,31527,0.0
2014,2,Tierra Del Fuego,19,31546,0.0
2014,3,Tierra Del Fuego,19,32698,0.0
2014,4,Tierra Del Fuego,19,31786,0.0
2023,1,Santiago Del Estero,11,118555,0.0
2023,2,Santiago Del Estero,11,117809,0.0
2023,3,Santiago Del Estero,12,121928,9.09
2022,1,Santiago Del Estero,11,116461,0.0
2022,2,Santiago Del Estero,11,118044,0.0
2022,3,Santiago Del Estero,11,119032,0.0
2022,4,Santiago Del Estero,11,119494,0.0
2021,1,Santiago Del Estero,11,111641,10.0
2021,2,Santiago Del Estero,11,114090,0.0
2021,3,Santiago Del Estero,11,115458,0.0
2021,4,Santiago Del Estero,11,115861,0.0
2020,1,Santiago Del Estero,10,103054,0.0
2020,2,Santiago Del Estero,10,105447,0.0
2020,3,Santiago Del Estero,10,105492,0.0
2020,4,Santiago Del Estero,10,106669,0.0
2019,1,Santiago Del Estero,9,91535,0.0
2019,2,Santiago Del Estero,13,126056,44.44
2019,3,Santiago Del Estero,13,132632,0.0
2019,4,Santiago Del Estero,10,103588,-23.08
2018,1,Santiago Del Estero,8,84236,14.29
2018,2,Santiago Del Estero,8,83770,0.0
2018,3,Santiago Del Estero,8,86102,0.0
2018,4,Santiago Del Estero,9,89335,12.5
2017,1,Santiago Del Estero,3,34478,0.0
2017,2,Santiago Del Estero,3,33199,0.0
2017,3,Santiago Del Estero,8,65360,166.67
2017,4,Santiago Del Estero,7,68842,-12.5
2016,1,Santiago Del Estero,4,38394,0.0
2016,2,Santiago Del Estero,3,37669,-25.0
2016,3,Santiago Del Estero,3,36592,0.0
2016,4,Santiago Del Estero,3,35054,0.0
2015,1,Santiago Del Estero,4,38617,0.0
2015,2,Santiago Del Estero,4,39379,0.0
2015,3,Santiago Del Estero,4,39398,0.0
2015,4,Santiago Del Estero,4,39138,0.0
2014,1,Santiago Del Estero,4,37113,0.0
2014,2,Santiago Del Estero,4,37996,0.0
2014,3,Santiago Del Estero,4,37540,0.0
2014,4,Santiago Del Estero,4,39301,0.0
2023,1,Santa Fe,24,886274,0.0
2023,2,Santa Fe,24,895814,0.0
2023,3,Santa Fe,24,900352,0.0
2022,1,Santa Fe,24,870479,0.0
2022,2,Santa Fe,24,878859,0.0
2022,3,Santa Fe,24,887810,0.0
2022,4,Santa Fe,24,887691,0.0
2021,1,Santa Fe,23,826127,0.0
2021,2,Santa Fe,23,840600,0.0
2021,3,Santa Fe,23,841584,0.0
2021,4,Santa Fe,24,866441,4.35
2020,1,Santa Fe,21,762556,0.0
2020,2,Santa Fe,22,777932,4.76
2020,3,Santa Fe,22,802998,0.0
2020,4,Santa Fe,23,820813,4.55
2019,1,Santa Fe,21,732320,5.0
2019,2,Santa Fe,21,736108,0.0
2019,3,Santa Fe,21,752576,0.0
2019,4,Santa Fe,21,769169,0.0
2018,1,Santa Fe,19,680053,0.0
2018,2,Santa Fe,19,684591,0.0
2018,3,Santa Fe,19,692572,0.0
2018,4,Santa Fe,20,720390,5.26
2017,1,Santa Fe,16,562613,0.0
2017,2,Santa Fe,16,567004,0.0
2017,3,Santa Fe,19,624462,18.75
2017,4,Santa Fe,19,671964,0.0
2016,1,Santa Fe,16,551809,0.0
2016,2,Santa Fe,16,588531,0.0
2016,3,Santa Fe,16,568104,0.0
2016,4,Santa Fe,16,561542,0.0
2015,1,Santa Fe,15,536252,0.0
2015,2,Santa Fe,16,547253,6.67
2015,3,Santa Fe,16,555766,0.0
2015,4,Santa Fe,16,560204,0.0
2014,1,Santa Fe,15,506013,0.0
2014,2,Santa Fe,15,512094,0.0
2014,3,Santa Fe,15,515368,0.0
2014,4,Santa Fe,15,527471,0.0
2023,1,Santa Cruz,12,50361,0.0
2023,2,Santa Cruz,12,48602,0.0
2023,3,Santa Cruz,12,47987,0.0
2022,1,Santa Cruz,12,49102,0.0
2022,2,Santa Cruz,12,49185,0.0
2022,3,Santa Cruz,12,49510,0.0
2022,4,Santa Cruz,12,50203,0.0
2021,1,Santa Cruz,12,46065,9.09
2021,2,Santa Cruz,13,48982,8.33
2021,3,Santa Cruz,13,48976,0.0
2021,4,Santa Cruz,12,48486,-7.69
2020,1,Santa Cruz,10,38335,0.0
2020,2,Santa Cruz,10,38869,0.0
2020,3,Santa Cruz,10,39281,0.0
2020,4,Santa Cruz,11,40674,10.0
2019,1,Santa Cruz,7,25606,0.0
2019,2,Santa Cruz,8,30010,14.29
2019,3,Santa Cruz,10,37430,25.0
2019,4,Santa Cruz,10,39370,0.0
2018,1,Santa Cruz,9,33772,12.5
2018,2,Santa Cruz,9,33772,0.0
2018,3,Santa Cruz,9,33945,0.0
2018,4,Santa Cruz,7,24768,-22.22
2017,1,Santa Cruz,7,31863,0.0
2017,2,Santa Cruz,7,31765,0.0
2017,3,Santa Cruz,9,29955,28.57
2017,4,Santa Cruz,8,29978,-11.11
2016,1,Santa Cruz,8,32393,0.0
2016,2,Santa Cruz,7,32427,-12.5
2016,3,Santa Cruz,7,32397,0.0
2016,4,Santa Cruz,7,32013,0.0
2015,1,Santa Cruz,8,26282,0.0
2015,2,Santa Cruz,8,25756,0.0
2015,3,Santa Cruz,8,32483,0.0
2015,4,Santa Cruz,8,32555,0.0
2014,1,Santa Cruz,8,26760,0.0
2014,2,Santa Cruz,8,27166,0.0
2014,3,Santa Cruz,8,26069,0.0
2014,4,Santa Cruz,8,25703,0.0
2023,1,San Luis,25,135463,0.0
2023,2,San Luis,26,140748,4.0
2023,3,San Luis,28,148916,7.69
