Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Longitud,Latitud
SANTA FE,Las Colonias,San Agustín,82070220,0,0,0,0,0,0,0,83,83,-60.9413147450231,-31.6847778866246
SANTA FE,Las Colonias,San Carlos Centro,82070230,275,4058,0,10,0,0,0,33,4376,-61.0913957859145,-31.7284179989089
SANTA FE,Las Colonias,San Carlos Norte,82070240,0,264,0,1,0,0,0,142,407,-61.0762585195433,-31.6743105766747
SANTA FE,Las Colonias,San Carlos Sud,82070250,30,702,0,2,0,0,0,6,740,-61.1007514980914,-31.7575954064363
SANTA FE,Las Colonias,San Jerónimo del Sauce,82070260,0,0,0,119,0,0,0,0,119,-61.1425180717315,-31.6112124759047
SANTA FE,Las Colonias,San Jerónimo Norte,82070270,151,0,0,1622,0,0,0,261,2034,-61.078514153956,-31.5545316682675
SANTA FE,Las Colonias,Santa Clara de Buena Vista,82070290,0,758,0,0,0,0,0,0,758,-61.3210236384566,-31.7657963305203
SANTA FE,Las Colonias,Santo Domingo,82070300,0,0,0,0,0,0,0,270,270,-60.8888854567848,-31.1222768363914
SANTA FE,Rosario,Acebal,82084010,23,755,0,36,391,0,0,140,1345,-60.837195481459,-33.2436505576999
SANTA FE,Rosario,Álvarez,82084030,9,1393,0,2,134,0,0,0,1538,-60.8039626859935,-33.1306253585247
SANTA FE,Rosario,Alvear,82084040,893,3235,0,467,0,0,0,20,4615,-60.6159765613734,-33.0614584695641
SANTA FE,Rosario,Arminda,82084060,0,86,0,0,40,0,0,0,126,-60.9669188397385,-33.2658615254501
SANTA FE,Rosario,Arroyo Seco,82084070,619,4001,0,1490,0,0,0,14,6124,-60.5101308080247,-33.1560225761175
SANTA FE,Rosario,Carmen del Sauce,82084080,0,3,0,180,0,0,0,22,205,-60.8118679160701,-33.2376879120566
SANTA FE,Rosario,Coronel Bogado,82084090,415,0,0,178,0,0,0,0,593,-60.6036347878573,-33.3175115859048
SANTA FE,Rosario,Cuatro Esquinas,82084110,0,0,0,48,0,0,0,0,48,-60.7649740219949,-33.2466228889596
SANTA FE,Rosario,El Caramelo,82084120,71,0,0,497,0,0,0,0,568,-60.7130394393533,-33.1288733975401
SANTA FE,Rosario,Fighiera,82084130,214,0,0,0,0,0,0,258,472,-60.4706038463519,-33.1950187794417
SANTA FE,Rosario,Funes,82084140,1970,6139,1,6677,0,1,0,240,15028,-60.8121802825957,-32.922782783063
SANTA FE,Rosario,General Lagos,82084150,400,0,0,1,1,0,0,141,543,-60.5665737837063,-33.1121588884353
SANTA FE,Rosario,Granadero Baigorria,82084160,0,4086,0,476,2,0,0,676,5240,-60.7062159770827,-32.8613641656775
SANTA FE,Rosario,Ibarlucea,82084170,0,692,0,982,0,0,0,412,2086,-60.7884936646076,-32.8512561304404
SANTA FE,Rosario,Pérez,82084210,680,0,0,114,0,4,0,6,804,-60.7721592101064,-32.99881116903
SANTA FE,Rosario,Piñero (Est. Erasto),82084220,0,181,0,1,55,0,0,0,237,-60.7964961630631,-33.1112071010784
SANTA FE,Rosario,Pueblo Esther,82084230,397,0,0,842,0,1,0,0,1240,-60.5789195429283,-33.0730969403696
SANTA FE,Rosario,Pueblo Muñoz (Est. Bernard),82084240,0,118,0,0,54,0,0,0,172,-60.8971398400989,-33.1744833504332
SANTA FE,Rosario,Pueblo Uranga,82084250,20,0,0,162,0,0,0,52,234,-60.7083345859989,-33.2645299958204
SANTA FE,Rosario,Puerto Arroyo Seco,82084260,0,0,0,0,25,0,0,0,25,-60.5078884705177,-33.1315113496399
SANTA FE,Rosario,Rosario,82084270,11512,167666,71,173323,152,2,0,5218,357944,-60.6515379354516,-32.9538142575214
SANTA FE,Rosario,Soldini,82084280,70,780,0,0,86,0,0,0,936,-60.7561883192345,-33.0239868445344
