ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_conexion,Accesos por cada 100 hab,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Hasta 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros Mbps,Total suma Mbps
73841.0,17504.0,45.0,7.0,577.0,91974.0,7.004015501526469,28.914594000862877,91949,25.0,53.0,18818.0,64440.0,8293.0,388.0,0.0,0.0,0.0,91992.0
48161.0,451.0,722.0,1139.0,1173.0,51646.0,7.077771062624967,27.782697817958912,50891,755.0,10.0,507.0,51129.0,0.0,0.0,0.0,0.0,0.0,51646.0
11306.0,925.0,354.0,22.0,448.0,13055.0,2.781512264860477,9.717910199871824,12691,364.0,7.0,0.0,13045.0,0.0,0.0,1.0,2.0,0.0,13055.0
18956.0,448.0,381.0,4118.0,3266.0,27169.0,8.744673181156902,29.377007153054272,26710,459.0,153.0,1637.0,25374.0,2.0,0.0,0.0,0.0,0.0,27166.0
324101.0,178495.0,3085.0,6041.0,636.0,512358.0,15.216957428230305,48.39035138670138,511753,605.0,8515.0,115197.0,353559.0,23939.0,10058.0,34.0,792.0,0.0,512094.0
32820.0,4231.0,19.0,907.0,34.0,38011.0,4.143683147939005,16.695567347354444,38002,9.0,1231.0,9914.0,23842.0,2867.0,142.0,0.0,0.0,0.0,37996.0
21618.0,3008.0,648.0,1.0,2934.0,28209.0,19.08631433655622,64.35604517159936,27443,766.0,12.0,334.0,31198.0,2.0,0.0,0.0,0.0,0.0,31546.0
131740.0,97.0,121.0,13.0,98.0,132069.0,8.409488588173268,33.94452688568229,131981,88.0,6.0,32714.0,84675.0,14101.0,559.0,4.0,0.0,0.0,132059.0
1562533.0,1110628.0,124474.0,20049.0,31881.0,2849565.0,17.26299843234104,56.754739164071026,2835537,14028.0,7355.0,128186.72,2281523.6,156693.12,68946.92,243.32,4232.0,0.0,2647180.68
450155.0,833402.0,17886.0,1995.0,14387.0,1317825.0,43.20639959292724,113.8005123324155,1307195,10630.0,840.0,78016.28,1060145.4,102169.88,70907.08,94.68,6626.0,0.0,1318799.32
24380.0,244.0,15.0,0.0,47.0,24686.0,6.269890252791938,24.706121305327624,24665,21.0,19.0,8845.0,13790.0,1915.0,111.0,0.0,0.0,0.0,24680.0
53321.0,10336.0,29.0,1.0,59.0,63746.0,5.627757222300207,21.112666705262427,63710,36.0,398.0,14731.0,41934.0,5428.0,1274.0,5.0,0.0,0.0,63770.0
49219.0,668.0,882.0,11853.0,6515.0,69137.0,12.388234071451354,40.59867094427454,67130,2007.0,2013.0,6281.0,60771.0,34.0,0.0,0.0,0.0,0.0,69099.0
52957.0,9184.0,31.0,1312.0,65.0,63549.0,5.9862826719116935,22.78753503515243,63516,33.0,21.0,15448.0,41717.0,5181.0,1172.0,0.0,0.0,0.0,63539.0
340212.0,240334.0,444.0,4064.0,377.0,585431.0,16.5601374978714,54.23361028299935,585231,200.0,660.0,98992.0,435692.0,28992.0,18888.0,84.0,664.0,0.0,583972.0
108907.0,22440.0,48.0,5203.0,135.0,136733.0,10.433826435850124,34.981647333712985,136618,115.0,1709.0,29710.0,91450.0,12569.0,1310.0,0.0,48.0,0.0,136796.0
21021.0,4836.0,0.0,0.0,80.0,25937.0,4.5129252671268265,17.771314831468263,25873,64.0,2001.0,8323.0,14202.0,1324.0,85.0,0.0,0.0,0.0,25935.0
30128.0,3541.0,22.0,37.0,13.0,33741.0,4.68339443034039,18.368534215570367,33739,2.0,127.0,10979.0,20216.0,2305.0,82.0,0.0,0.0,0.0,33709.0
16051.0,33940.0,538.0,11219.0,677.0,62425.0,18.33753400191527,55.78120173850417,61861,564.0,6458.0,6645.0,41009.0,24.0,5.0,4.0,10.0,0.0,54155.0
15864.0,0.0,14.0,1.0,37.0,15916.0,4.379035874747908,16.50671327406722,15893,23.0,10.0,4785.0,9720.0,1337.0,61.0,0.0,0.0,0.0,15913.0
150120.0,13030.0,2512.0,40.0,2222.0,167924.0,8.992236937014606,32.313179561655694,166184,1740.0,35.0,0.0,167763.0,31.0,12.0,13.0,1.0,0.0,167855.0
